Omega,alpha,energy,sigma, distance
5,1.04,16.83093,1.5292781,0.69981433
5,1.05,16.845626,1.5860764,0.69649351
5,1.06,16.863274,1.6624818,0.69293724
5,1.07,16.880465,1.7235573,0.68982307
5,1.08,16.898458,1.7667248,0.6867088
5,1.09,16.918989,1.841872,0.68349432
5,1.1,16.939604,1.8991589,0.68051713
5,1.11,16.960986,2.0842224,0.67739552
5,1.12,16.985083,2.0136302,0.67427725
5,1.13,17.010044,2.0769622,0.6711411
5,1.14,17.034383,2.1451304,0.66829027
5,1.15,17.058611,2.2115943,0.66564975
5,1.16,17.086665,2.2750488,0.66268451
5,1.17,17.114092,2.3546532,0.65984889
5,1.18,17.144427,2.4110159,0.65685841
5,1.19,17.171938,2.4810502,0.65440383
5,1.2,17.203478,2.543468,0.65162289
